id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJMcgplZEBskARFL-eDsd1p24,Vaper's Paradise,"Intrarea eMag langa Banca Transilvania, Șoseaua Virtuții 148, 060787 București, Romania",București,http://vapersparadise.ro/,0752 061 537,RO,"store, point_of_interest, establishment"
ChIJs-nYpwL_sUAR8wt9DPAv-x0,"Elvapo - Vape store, magazin tigari electronice, lichide, rezistente, arome, diverse sortimente si branduri.","Șoseaua Olteniței 125, 041306 București, Romania",București,https://elvapo.ro/,0772 033 454,RO,"cosmetics_store, store, point_of_interest, establishment"
ChIJrTbBBK74sUARqQ4qdD6w7Qs,Smokemania - Showroom Barbu Văcărescu București,"Parter, Str. Barbu Văcărescu 13, 020271 București, Romania",București,https://www.smokemania.ro/,021 555 2352,RO,"store, point_of_interest, establishment"
ChIJM6qF4Xv_sUARIiQq2ySsd1U,Legalizeit Romania - Ulei CBD și Accesorii de Fumat București,"Bulevardul Carol I 42, 020922 București, Romania",București,https://legalizeitplus.ro/,0765 372 837,RO,"store, point_of_interest, establishment"
ChIJURe_D8gDskARcbP9OtT4ycQ,Smokemania - Bucurestii Noi,"Bulevardul Bucureștii Noi 58, 012364 București, Romania",București,,0724 810 180,RO,"store, point_of_interest, establishment"
ChIJWyBsQYb_sUARyg0CgAulnOk,Brilliant Smoke,"Parter și subsol, Strada Halelor 13, 15 parter, 030167 Bucharest, Romania",Bucharest,https://fumshop.ro/,0752 522 547,RO,"wholesaler, store, manufacturer, service, point_of_interest, establishment"
ChIJW7VdDyP_sUARtsDsHAKNglg,IVG ROMANIA,"Strada Halelor 15, 030167 București, Romania",București,https://ivapegreat.ro/,0774 660 388,RO,"store, point_of_interest, establishment"
ChIJIfK1Gvr_sUARHY4gUqUh0UQ,Zenstar.ro - Magazin Ulei CBD si Accesorii de fumat,"Bulevardul Gheorghe Șincai 13, bl5 sc 1 ap 1, 040313 București, Romania",București,https://www.zenstar.ro/,0721 611 111,RO,"store, point_of_interest, establishment"
ChIJEbRwRBUPSUcRGFFD3QZldnk,Citizen Vape,"Str. Napoca 6, 400347 Cluj-Napoca, Romania",Cluj-Napoca,https://vapetronic.ro/,0770 156 232,RO,"store, point_of_interest, establishment"
ChIJx-XOpFv7ykARiGYsqr3MMs0,electronic cigarette shop,"Strada Păcurari, 707410 Iași, Romania",Iași,http://etigareta.com/,0740 753 652,RO,"store, point_of_interest, establishment"
ChIJESWuq3-7skARPIMBItC6Hss,Smokemania Pitesti,"Bulevardul Nicolae Bălcescu 106, 110101 Pitești, Romania",Pitești,https://www.smokemania.ro/,0736 868 531,RO,"store, point_of_interest, establishment"
ChIJz8MQeZ25skAR6n_cfA1PcmI,MN MIRAMAR 13,"Bulevardul Dacia, bl.P9, parter, 115400 Mioveni, Romania",Mioveni,,0757 455 979,RO,"store, point_of_interest, establishment"
ChIJZ3rOONP_sUAR8OSur1Ihm4k,Vicii Shop Galeriile Titan | Tutungerie | Tigari Electronice,"Str. Liviu Rebreanu 6a, 032474 București, Romania",București,http://www.vicii-shop.ro/,0771 695 264,RO,"store, point_of_interest, establishment"
ChIJ_ZEWJO_-sUARJ3pMPZ63X4M,Magazin Narghilea AMY Deluxe - Mihai Bravu,"Șoseaua Mihai Bravu 462, 030307 București, Romania",București,https://narghileadms.ro/,0758 546 055,RO,"store, point_of_interest, establishment"
