id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJhdX2BSsDskAR4PQoCHphSqw,Tutun ieftin,"Bulevardul Bucureștii Noi 15, 012351 București, Romania",București,https://tutun-ieftin.com/,,RO,"wholesaler, store, manufacturer, service, point_of_interest, establishment"
ChIJEfDWiFj_sUARyvdz8IEJ440,Tutungeria Lizar,"Bulevardul Dinicu Golescu 9, București, Romania",București,https://www.facebook.com/profile.php?id=100057085075218,0737 066 808,RO,"liquor_store, store, point_of_interest, establishment"
ChIJpZjIlq_ftkARC_jg1ttVWYI,Tabacco & Gifts,"In incinta centrului comercial, la parter , lângă lift, Centrul Comercial Dunărea Mall, Strada Brăilei 220, 800409 Galați, Romania",Galați,https://tabaccogifts.ro/,0740 963 626,RO,"gift_shop, wholesaler, store, manufacturer, service, point_of_interest, establishment"
ChIJ37YnA_hmrkAR70NMoz65k3k,"Tutungerie Giurgiu, B-dul Mihai Viteazul, TABAGO 43","Parter, vis-a-vis de Gara, Bloc 34/335, Bulevardul Mihai Viteazul, 080121 Giurgiu, Romania",Giurgiu,https://www.e-tutungerie.ro/,0764 368 999,RO,"coffee_shop, liquor_store, cafe, observation_deck, food_store, store, food, point_of_interest, establishment"
ChIJT5IGUZbNrUARuiMOfI3etBc,"Tutungerie Alexandria - Str. Bucuresti, TABAGO 43","Strada București Nr. 94, Bl. 220, parter, 140081 Alexandria, Romania",Alexandria,https://e-tutungerie.ro/,0347 404 660,RO,"store, point_of_interest, establishment"
ChIJ0WRnU9xbs0ARApqdSPuvJTQ,eTutun tobacco&vape Shop,"Strada Vlad Țepeș 21, 500092 Brașov, Romania",Brașov,https://www.facebook.com/eTutunShop/,0741 950 146,RO,"store, point_of_interest, establishment"
ChIJY79HC-n_rUARDG5S5LANqXc,magazintrabucuri.ro,"Depozit - NU comercializam produse la adresa, Șoseaua Alexandriei 88, 051538 București, Romania",București,https://www.magazintrabucuri.ro/,0726 878 038,RO,"store, point_of_interest, establishment"
ChIJi-pF1TrdN0cRaUr_EyrHOeA,RioTabak Baia Mare,"Bulevardul Regele Mihai I 10, 430012 Baia Mare, Romania",Baia Mare,https://riotabak.ro/,0775 133 738,RO,"store, point_of_interest, establishment"
ChIJ49_-J0IMSUcRRFsHzI_1Wfg,tuburipentrutigari.ro,"Strada Unirii 21/25, 400417 Cluj-Napoca, Romania",Cluj-Napoca,http://www.tuburipentrutigari.ro/,0744 545 936,RO,"corporate_office, point_of_interest, establishment"
ChIJp2hCdjXlukAR789YV4x2snQ,Dovi,"Strada Tudor Vladimirescu 10, 900178 Constanța, Romania",Constanța,http://dovi.ro/,0739 658 539,RO,"wholesaler, store, service, point_of_interest, establishment"
ChIJCWVq5J5ds0AReo_pjSXe3pA,eTutun,"Strada Zizinului 106A, 500407 Brașov, Romania",Brașov,https://etutun.ro/,0742 750 146,RO,"wholesaler, manufacturer, service, point_of_interest, establishment"
