WP,wielkopolskie,województwo,,2023,PL-A-WP-001,A1,BILLS SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,PL,Ostrzeszów,"ul. Ignacego Daszyńskiego 31, 63-500",PL5140361901,KRS 0001074645,https://www.bills.pl,brak,finanse@bills.pl,+48 62 586 07 38,brak,brak,brak,,wyłączność,"PowerMatic, SMOKS tobacco aromas, Intenze e-liquid",nie,Polska producent (PowerMatic via PL/CCE exclusive),duży 🟢,exclusive PL+CEE (BILLS),bills.pl,brak,n/a,n/a,Marceli,właściciel/CEO,KRS API + NIP + www.bills.pl + VIES,2026-08-10,QS: 90/100 | 2026-08-10 ✅ FROZEN (API),✅🐋,duży
KP,kujawsko-pomorskie,województwo,,2004,PL-A-KP-001,A5,BISTA STANDARD SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,PL,Bydgoszcz,"ul. Smoleńska 29, 85-871",PL5542559901,KRS 0000197822,https://bista.pl,brak,brak,brak,brak,bistastandard,bistastandard,,producent,"Dark Horse, FERN (własne marki)",tak (Dark Horse + FERN),Polska producent,duży 🟡,eksport do 70 krajów,Intertabac wystawca,brak,n/a,Adam Jacek Stawowski,Prezes Zarządu / Chairman,brak,KRS API + VIES,2026-08-10,QS: 80/100 | 2026-08-10 ✅ FROZEN (API),🐋🔍,duży
MZ,mazowieckie,województwo,,,PL-A-MZ-002,A4,E-TABAK SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,PL,Piaseczno,"ul. Kościuszki 4, 05-500 Piaseczno",PL1231543801,KRS 0001068075,https://e-tabak.pl,sieć 25+ sklepów + Allegro,biuro@e-tabak.pl,+48 573 180 220,brak,brak,brak,,marki własne + SMOK/VooPoo/Aspire/Vaporesso,do weryfikacji,import (Chiny + UE),duży 🟢 (sieć 25+ sklepów),✅,e-commerce + 25+ sklepów stacjonarnych,brak,n/a,do ustalenia (zarząd KRS — właściciel niejawny),prezes zarządu,brak,brak,KRS API + VIES,2026-08-10,QS: 90/100 | KRS API + VIES + e-tabak.pl + aplikuj.pl 2026-08-10 ✅ FROZEN (API),KRS i NIP zgodne z listą. Brak innych danych. Rejestracja 2023-11-07. Weryfikacja co konkretnie sprzedaje i skąd importuje,"Sieć 25+ sklepów vape/CBD/e-papierosy/shisha w woj. mazowieckim, lubelskim i wielkopolskim (Piaseczno, Pruszków, Góra Kalwaria, Konstancin-Jeziorna, Garwolin, Warszawa, Tomaszów Lubelski, Zamość, Hrubieszów, Grodzisk Maz., Józefosław, Grójec, Mińsk Maz., Poznań, Józefów, Radom, Kozienice, Chełm, Dęblin, Pionki, Węgrów, Siedlce). PKD: 47.26.Z detal tytoń + 46.39.Z hurt + 47.91.Z internet. Rejestracja 2023-11-07. ⚠️ Nie maszynki wprost, ale jest topowy kandydat cross-sell (sieć sklepów z akcesoriami dla palaczy) — kanał sprzedaży dla PM/Hawk."
PM,pomorskie,województwo,,,PL-A-PM-002,A4,Trober Polska Patrick Chrabkowski,PL,Kaliska,"ul. Firmowa 2, 83-260 Kaliska",5922192789,,https://trober-polska.pl/,,biuro@trober-polska.pl; anna.skarbek@troeber.com,+48 58 587 85 14; +48 502 323 283,,,,,autoryzowany,,,Chiny,średni,🟢,B2B only,,,Patrick Chrabkowski / Właściciel | Anna Skarbek / Kontakt sprzedażowy Polska,,,KRS API / CEIDG API + web search 2026-08-10,,🔍 2026-08-10 ✅ FROZEN (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; kompetencje importowo-dystrybucyjne. | orig_uwagi: Silny kandydat dystrybucyjny z szerokim asortymentem komplementarnym. | Status źródłowy: Zweryfikowany — aktywna strona | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=96 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki'",duży
,Ogólnopolska,,,,PL-A-XX-002,A4,Trafika.pl,PL,Kalisz,"ul. Złota 126, 62-800 Kalisz",6181914183,,https://trafika.pl,,biuro@skleptytoniowy.pl,62 767 46 07,,,,,hurtownik,,,mix,średni,🟢,mix,,,,,,intake_PL_2026-08-10 | https://trafika.pl,,🔍 🔧 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny. | orig_uwagi: TAK | Status źródłowy: Niezweryfikowany | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=95 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | tier-fix: reseller→hurtownik per master",duży
ZP,zachodniopomorskie,województwo,,,PL-A-ZP-001,A4,PHU BJB Sp. z o.o.,PL,Koszalin,"ul. Klonowa 1, 75-644 Koszalin",6692127776,121182(?),http://www.bjb.pl,,zamowienia@bjb.verde.pl,+48 94 340 49 04,,,,,reseller,,,mix,duży,🟢,mix,,,Dział zamówień,Dystrybucja regionalna,,intake_PL_2026-08-10 | https://www.pkt.pl/firma/bjb-phu-hurtownia-papierosow-i-artykulow-spozywczych-348779 | http://www.bjb.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek. | orig_uwagi: Dystrybutor wyrobów tytoniowych z kilkoma oddziałami i zasięgiem północno-zachodnim. | Potencjalnie duży zasięg północno-zachodni; potwierdzić aktualny asortyment RYO/MYO. | Status źródłowy: Do weryfikacji — rejestry i katalogi | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=93 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki'",duży
MZ,mazowieckie,województwo,,,PL-A-MZ-001,A4,Prosmoker Jarosław Szulc,PL,Warszawa,"ul. Korkowa 167/204, 04-549 Warszawa",1132559176,,https://www.prosmoker.pl/,,prosmokerhurt@gmail.com,+48 507 208 897; +48 690 328 062,,,,,reseller,,,mix,średni,🟢,mix,,,,,,KRS API / CEIDG API + web search 2026-08-10,,🔍 2026-08-10 ✅ FROZEN (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek. | orig_uwagi: Dobry lead cross-category: istniejąca baza klientów vape może kupować akcesoria RYO/MYO. | Status źródłowy: Zweryfikowany — aktywna strona | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=91 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki'",duży
MZ,mazowieckie,województwo,,,PL-A-MZ-002,A4,BATEK Violoncellista Beata,PL,Legionowo,"ul. Obrońców Lwowa 6, 05-119 Legionowo",5270159026,,https://batek.pl/,,batek@batek.pl,+48 695 020 633; +48 22 732 25 11,,,,,reseller,,,mix,średni,🟢,B2B only,,,Beata Violoncellista / Właścicielka,,,KRS API / CEIDG API + web search 2026-08-10,,🔍 2026-08-10 ✅ FROZEN (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek. | orig_uwagi: Dobrze dopasowany importer akcesoriów dla palaczy; nie jest rdzeniowym graczem RYO. | Status źródłowy: Zweryfikowany — aktywna strona | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=91 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki'",duży
LB,lubuskie,województwo,,,PL-A-LB-001,A4,CK Complex,PL,,"ul. Naftowa 4, 65-705 Zielona Góra",9291744080,,https://ckcomplex.pl,,monika.wachel@ckcomplex.pl; b2b@ckcomplex.pl,+48 511 881 411; +48 515 377 435,,,,,reseller,,,mix,duży,🟢,B2B only,,,Monika Wachel,Dyrektor ds. sprzedaży hurtowej,,intake_PL_2026-08-10 | https://ckcomplex.pl/kontakt/ | https://b2b.ckcomplex.pl/ | https://ckcomplex.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny. | orig_uwagi: B2B FMCG wholesaler that distributes various tobacco accessories including manual and piston rolling machines (nabijarki). | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=89 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki'",duży
MZ,mazowieckie,województwo,,,PL-A-MZ-003,A4,IGNIS COMPANY Sp. z o.o. / IGNIS Tobacco,PL,Warszawa,"ul. Szamocka 10C/128, 01-748 Warszawa",5252995077,,https://ignistobacco.pl/,,sekretariat@eignis.pl; zamowienia@eignis.pl,+48 44 777 00 30; +48 601 373 745,,,,,marketplace,,,Chiny,średni,🟢,mix,,,Łukasz Maciejczyk / CEO / właściciel | Justyna Maciejczyk / CEO / zamówienia,,,intake_PL_2026-08-10 | https://ignistobacco.pl/,,🔴🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; kompetencje importowo-dystrybucyjne; wymaga rozmowy strategicznej zamiast standardowej oferty. | orig_uwagi: Bezpośrednio komplementarny asortyment; warto sprawdzić konflikt marek i warunki dystrybucji. | Status źródłowy: Zweryfikowany — aktywna strona | orig_next: Rozmowa strategiczna z dyrektorem handlowym; bez standardowego cold maila | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=88 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki'",duży
WP,wielkopolskie,województwo,,,PL-A-WP-002,A4,i-Want! (Hurtownia i-Want!),PL,,"Magazynowa 10, 62-030 Luboń",7831904759,1107505(?),https://i-want.pl,,hurt@i-want.pl,+48 500 528 972; +48 513 954 493 wew. 4,,,,,reseller,,,mix,mały,🟢,B2B only,,,Dział hurtowy,Sprzedaż B2B,,intake_PL_2026-08-10 | https://i-want.pl/kontakt-i-faq/ | https://i-want.pl/regulamin-iwant/ | https://i-want.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny. | orig_uwagi: Nie potwierdzone | Status źródłowy: Dostępny w katalogu | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=84 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki'",duży
