score,whale,country,iso,id,name,miasto,kategoria,tier,powinowactwo,wolumen,confidence,kanal,email,telefon,www,decydent,notatki,flagi
10,✓,Bułgaria,BG,BG-B-020,ДЕЛИОН ООД (Delion OOD - VM Finance Group),София,B8,hurtownik,4,duży,🟢,B2B ogólnokrajowy,office@delion.bg,+359 2 970 80 00,https://delion.bg,Yavor Stefanov Karagyozov,"Czołowy ogólnokrajowy importer i dystrybutor tytoni do palenia, cygar i akcesoriów (VM Finance Group) z hubami w Sofii, Płowdiwie i Warnie. | marki_nabijarki: tytonie do skręcania | cygara | akcesoria",2026-09-01 ✅ FROZEN (API)
10,✓,Chorwacja,HR,HR-B-001,TDR d.o.o. (Tvornica duhana Rovinj / BAT Adria),Rovinj,B8,producent,4,duży,🟢,B2B ogólnokrajowy,info@tdr.hr,+385 52 801 000,https://tdr.hr,Zvonko Kolobara,Największy producent i dystrybutor wyrobów tytoniowych w Chorwacji i regionie Adria (część BAT Adria). | marki_nabijarki: Ronhill | Walter Wolf | Dunhill | Lucky Strike,2026-09-01 ✅ FROZEN (API)
10,✓,Chorwacja,HR,HR-B-002,TISAK PLUS d.o.o. (Tisak / Fortenova Grupa),Zagreb,B8,hurtownik,4,duży,🟢,B2B + sieć 1400+ kiosków,info@tisak.hr,+385 1 2413 100,https://www.tisak.hr,Danko Duhović,Największy chorwacki dystrybutor tiskowin i wyrobów tytoniowych z siecią ponad 1400 punktów sprzedaży. | marki_nabijarki: tytonie | gilzy | maszynki | prasa,2026-09-01 ✅ FROZEN (API)
10,✓,Chorwacja,HR,HR-B-003,iNOVINE d.d. (BAT Adria Network),Zagreb,B8,hurtownik,4,duży,🟢,B2B + sieć kiosków,info@inovine.hr,+385 1 4596 200,https://inovine.hr,Uprava,"Druga największa sieć dystrybucyjna i kiosków tytoniowych w Chorwacji, działająca w strukturach BAT Adria. | marki_nabijarki: wyroby tytoniowe | akcesoria | prasa",2026-09-01 ✅ FROZEN (API)
10,✓,Chorwacja,HR,HR-B-007,ROX d.o.o.,Zagreb,B8,hurtownik,4,duży,🟢,B2B ogólnokrajowy,info@rox.hr,+385 1 2415 000,https://rox.hr,Direktor,Duży dystrybutor hurtowy FMCG z dedykowanym działem akcesoriów dla palaczy i zapalniczek w Zagrzebiu. | marki_nabijarki: upaljači | pribor za pušače | FMCG,2026-09-01 ✅ FROZEN (API)
10,✓,Czechy,CZ,CZ-B-017,"GGT CZ, a.s.",Jihlava,B5,hurtownik,4,,,B2B wholesale,info@ggtabak.cz,+420 354 354 354,https://www.ggtabak.cz,,"2. největší velkoobchodní distributor tabákových výrobků v ČR. Člen holdingu Grafobal (SK). 10 distribučních míst, 18 340 ks/hod, 3 800+ produktů. Serwis dla trafik, stacji benzynowych, gastronomii. |",FROZEN
10,✓,Serbia,RS,RS-B-020,Julieta D.O.O.,Beograd,B2,hurtownik,5,,,B2B wholesale,office@julieta.biz,+381 11 3830 533,https://julieta.biz,,"RS exclusive Habanos + Davidoff importer. 700+ retail points (HoReCa, petrol stations, shopping centers). Also rolling & pipe tobacco + luxury accessories. Cross-sell: packaging, rolling accessories.",FROZEN ⚠️ DO-WERYFIKACJI
10,✓,Słowacja,SK,SK-B-001,"GECO, s. r. o.",Bratislava,B8,hurtownik,5,średni,🔴,Hurt B2B ogólnokrajowy & sieć trafik,info@geco.sk,+421 2 5465 1111,https://www.geco.sk,Zdenko Kalman,Wiodąca sieć trafik i saloników prasowych oraz hurtownia zintegrowana z GECO Czechy. | marki_nabijarki: Powermatic II+ | Powermatic III+ | Gilze Korona | RYO Accessories | Trafiky,(VIES / FinStat) 2026-08-31 ✅ FROZEN (API)
10,✓,Słowacja,SK,SK-B-008,"NOBA – SMOKER, s.r.o.",Trenčín,B8,hurtownik,4,średni,🔴,Hurt B2B ogólnokrajowy,smoker@smoker.sk,+421 32 743 0011,http://www.smoker.sk,Ing. Pavol Stiksa,"Krajowy dystrybutor FMCG, napojów oraz wyrobów tytoniowych w Trenčínie. | marki_nabijarki: Tabakové výrobky, Nápoje, Potraviny, Fajčiarske potreby",| Priorytet: B8 2026-08-31 ✅ FROZEN (API)
10,✓,Słowacja,SK,SK-B-013,"JTI Slovak Republic, s.r.o.",Bratislava,B9,hurtownik,5,średni,🔴,Hurt ogólnokrajowy,info.sk@jti.com,+421 2 5824 0111,https://www.jti.com,Cedric Chucri,"Oddział koncernu Japan Tobacco International na Słowacji. | marki_nabijarki: Cigarety, Tabak, Výrobky s obsahom nikotínu",(VIES / FinStat) 2026-08-31 ✅ FROZEN (API)
