country,iso,url,name,why_relevant,query_phrase
Bułgaria,BG,https://skipter.bg/en/about-us/,Skipter Ltd.,"BG packaging-machinery leader, exclusive Audion distributor",rolling machine packaging distributor
Bułgaria,BG,https://www.unipackbg.com/en/product/tobacco-packaging,Unipack AD,"BG tobacco-packaging manufacturer, exports to 15+ countries",cigarette packaging wholesale
Bułgaria,BG,https://www.darimex.net/cigarette-packaging,Darimex Trading Ltd.,"Regional cigarette-packaging manufacturer, 30+ yrs, EU+Asia",cigarette packaging wholesale
Czechy,CZ,https://www.ronex.cz/,RONEX s.r.o.,CZ+SK exclusive Audion packaging-machines distributor,rolling machine packaging distributor
Czechy,CZ,https://www.metalimex.cz,METALIMEX a.s.,CZ tobacco-foil + flexible-packaging manufacturer,cigarette packaging wholesale
Czechy,CZ,https://www.peal.cz/english-version,PEAL a.s.,CZ 2nd-largest tobacco wholesale + Don Pealo brand,cigarette packaging wholesale
Chorwacja,HR,https://www.veletabak.hr/,Veletabak d.o.o.,HR Imperial Brands general distributor,cigarette packaging wholesale
Chorwacja,HR,https://de-ro.hr/en/landing,De-Ro d.o.o.,HR corrugated cardboard + packaging machinery,rolling machine packaging distributor
Chorwacja,HR,https://hr.tobacco-package.com/,Bright Packaging (hr.tobacco-package.com),HR cigarette-box packaging supplier,cigarette packaging wholesale
Estonia,EE,https://www.pakendikeskus.ee/en,Pakendikeskus AS,"EE #1 packaging materials+equipment retailer, 6 stores",rolling machine packaging distributor
Estonia,EE,https://plastrum.ee/en/about-us/,Plastrum OÜ,"EE printed packaging + tapes, EE/LV/LT/FI/SE/NO",print packaging tobacco industry distributor
Estonia,EE,https://pakendid.ee/en/,Ecobox (pakendid.ee),EE corrugated fibreboard packaging manufacturer,rolling machine packaging distributor
Francja,FR,https://robertrenault.fr/industrie-du-tabac,Robert Renault SA,FR flexo+prepress tobacco packaging printer,print packaging tobacco industry distributor
Francja,FR,https://lb.kompass.com/c/pastour-imprimeur-cartonnier/fr1978874/,Pastour Imprimeur Cartonnier,FR cardboard packaging manufacturer (tobacco boxes),cigarette packaging wholesale
Francja,FR,https://www.tobaccoasia.com/features/printing-machine-suppliers-unfazed-by-plain-packaging-drive/,Komori-Chambon SAS,FR printing presses for tobacco industry (Orléans),print packaging tobacco industry distributor
Litwa,LT,https://trustpack.lt/en/,Trustpack UAB,"LT modern printing house, packaging + labels, 25+ yrs",cigarette packaging wholesale
Litwa,LT,https://starna.lt/en,UAB Starna,LT industrial packaging materials+equipment + tobacco-specific adhesives,print packaging tobacco industry distributor
Litwa,LT,https://www.printela.lt/en/,Printela UAB,"LT labels + flexible packaging, exports to 9+ countries",print packaging tobacco industry distributor
Łotwa,LV,https://www.packforce.lv/en,Packforce Latvia,LV packaging materials+equipment retailer (Riga),rolling machine packaging distributor
Łotwa,LV,https://www.printpacking.lv/en/,PrintPacking SIA,"LV packaging supplier, EU+FI+SE+DE",print packaging tobacco industry distributor
Rumunia,RO,https://www.uzinex.ro/en,UZINEX SRL,RO packaging equipment + plate rolling machines,rolling machine packaging distributor
Rumunia,RO,https://kangoopack.com,KangooPack SRL,"RO end-of-line packaging, Mima/Eno/AFP/Signode distributor",rolling machine packaging distributor
Rumunia,RO,https://www.printpack.ro/,PrintPack Prod SRL,"RO flexible packaging + rotogravure, 1992, EU exports",cigarette packaging wholesale
Serbia,RS,http://gtl-packaging.com/en/,GTL Packaging,RS packaging equipment + filling systems manufacturer (Kragujevac),rolling machine packaging distributor
Serbia,RS,https://www.paperindex.com/paper-industry-suppliers-in-serbia/9,Snail Custom Rolling Papers (Belgrade),"RS rolling-papers manufacturer+exporter, 1998",rolling machine packaging distributor
Słowacja,SK,https://ggtabak.sk/en,GGT a.s. (Grafobal Group),"SK #1 tobacco distributor, 470 retail points",cigarette packaging wholesale
Słowacja,SK,https://www.grafobal.sk/en,GRAFOBAL akciová spoločnosť,SK 119-yr-old packaging+tobacco product packaging leader,print packaging tobacco industry distributor
Słowacja,SK,https://www.lauko.sk/en/,DL Lauko s.r.o.,SK tobacco+smoking accessories wholesale+importer,cigarette packaging wholesale
Słowenia,SI,https://www.tobacna-grosist.si/en,Tobačna Grosist d.o.o.,"SI biggest tobacco wholesale, 2500+ retail points",cigarette packaging wholesale
Słowenia,SI,https://www.rotoprint.si/hrvatski/,Rotoprint d.o.o.,SI plastic packaging manufacturer,print packaging tobacco industry distributor
Mołdawia,MD,https://internationaltobacco.md/,International Tobacco SRL,MD cigarette manufacturer + brand creation,cigarette packaging wholesale
