iso,country,name,url,http_code,alive,emails,phones,vat_ids,addresses,size,error
BG,Bułgaria,Darimex Trading Ltd.,https://www.darimex.net/cigarette-packaging,200,1,office@darimex.net,,,00192 E-mail,937162,
BG,Bułgaria,Skipter Ltd.,https://skipter.bg/en/about-us/,200,1,info@skipter.bg,+359 897 944 222 | +359 2 942 90 | +359 897 944 242,,"1510 Sofia, Bulgaria",68986,
BG,Bułgaria,Unipack AD,https://www.unipackbg.com/en/product/tobacco-packaging,200,1,unipack@unipackbg.com,+359 610 51 104,,,17953,
CZ,Czechy,METALIMEX a.s.,https://www.metalimex.cz,200,1,info@metalimex.cz,+420224492245 | +420224492247 | +420224492125 | +420224492321 | +420224492222,VAT: 00000931 | IČO: 00000931,222 Recepce,39955,
CZ,Czechy,PEAL a.s.,https://www.peal.cz/english-version,200,1,info@peal.cz,,,153 E-mail,21491,
CZ,Czechy,RONEX s.r.o.,https://www.ronex.cz/,200,1,aziz.manas@ronex.cz | servis@ronex.cz,+420602514114 | +420605597995,,,93068,
EE,Estonia,Ecobox (pakendid.ee),https://pakendid.ee/en/,200,1,,+37258141460,,,86472,
EE,Estonia,Pakendikeskus AS,https://www.pakendikeskus.ee/en,200,1,info@pakendikeskus.ee | eshop@pakendikeskus.ee,+3725074055 | +3726053078 | +3726053000,VAT: Without | VAT: Locations,3000 Mon-Fri,452514,
EE,Estonia,Plastrum OÜ,https://plastrum.ee/en/about-us/,200,1,berni@plastrum.ee,+3725140521 | +372 5140521,,2026 Miks trükifail tuleb enne hinnapäringut avada,127894,
FR,Francja,Komori-Chambon SAS,https://www.tobaccoasia.com/features/printing-machine-suppliers-unfazed-by-plain-packaging-drive/,200,1,,,,"830 Mark I, a servo-driven gravure press dedicated to the production of tobacco packa",51428,
HR,Chorwacja,De-Ro d.o.o.,https://de-ro.hr/en/landing,200,1,,+385(0)42421042,,42000 Varaždin Croatia,163256,
HR,Chorwacja,Veletabak d.o.o.,https://www.veletabak.hr/,200,1,info@veletabak.hr,+385 1 7888 610,,"090 Zagreb, HR",81967,
LT,Litwa,Printela UAB,https://www.printela.lt/en/,200,1,info@printela.lt | kontakt@printela.pl,++37068290005 | +37068290005,,005 Get a quote Flexible packaging Stand up pouches Flow pack Flat bottom pouches Adh,318410,
LT,Litwa,Trustpack UAB,https://trustpack.lt/en/,200,1,,+37052499900,,2026 Company name,387968,
LT,Litwa,UAB Starna,https://starna.lt/en,200,1,,+37037432002,,"2003 Industrial adhesives Hot melt, PSA, water-based Packaging films PE, PP, barrier f",61165,
LV,Łotwa,Packforce Latvia,https://www.packforce.lv/en,200,1,eshop@packforce.lv,+371 2 8398529 | +37128398529,VAT: Without,8529 Mon-Fri,409288,
LV,Łotwa,PrintPacking SIA,https://www.printpacking.lv/en/,200,1,info@printpacking.lv,+37128887744,VAT: 44103144227,44227 Adress,474100,
MD,Mołdawia,International Tobacco SRL,https://internationaltobacco.md/,200,1,,+373) 22 009300,,2015 Now SINCE,42276,
RO,Rumunia,KangooPack SRL,https://kangoopack.com,200,1,online@kangoopack.com,+40731371802 | 0720069981,,802 SOLICITĂ EVALUARE GRATUITĂ Menu Solu,247422,
RO,Rumunia,PrintPack Prod SRL,https://www.printpack.ro/,200,1,secretariat@printpack.ro,+40214608399 | 0040214608199,,152 Bucharest,48589,
RO,Rumunia,UZINEX SRL,https://www.uzinex.ro/en,200,1,info@uzinex.ro | sorin.baciu@uzinex.ro,+40769081081,VAT: 49240731,081 RO UA Equipment,629170,
RS,Serbia,GTL Packaging,http://gtl-packaging.com/en/,200,1,gtl@gtl-packaging.com | office@gtl-packaging.com, +381 34 561 571 |  +381 62 9761 789,,2021 COMPLEX SOLUTIONS FILLING LINES INTO BOTTLE FILLING LINES INTO CUP GROUP PACKAGIN,178840,
RS,Serbia,Snail Custom Rolling Papers (Belgrade),https://www.paperindex.com/paper-industry-suppliers-in-serbia/9,200,1,,,,63747 Members from,108732,
SI,Słowenia,Rotoprint d.o.o.,https://www.rotoprint.si/hrvatski/,200,1,,+386 1 5639 235,,235 Slovensko English Deutsch Proizvodnja plastične ambalaže HACCP plastic packaging,38345,
SI,Słowenia,Tobačna Grosist d.o.o.,https://www.tobacna-grosist.si/en,200,1,tobacna-grosist@si.imptob.com,+386 1 47 77 292 | 0038614777100,,1231 Ljubljana Črnuče T,47900,
SK,Słowacja,DL Lauko s.r.o.,https://www.lauko.sk/en/,200,1,brandobur@lauko.sk | ondrus@lauko.sk | janosova@lauko.sk | benova@lauko.sk | martis@lauko.sk,+421 0905 336 750 | +421 905 732 057,,959 Trnava and Nitra regions Peter Martiš this sales representative is ready to meet,23161,
SK,Słowacja,GGT a.s. (Grafobal Group),https://ggtabak.sk/en,200,1,,,,,20665,
SK,Słowacja,GRAFOBAL akciová spoločnosť,https://www.grafobal.sk/en,200,1,grafobal@grafobal.sk,+421346645231,,,30382,
