country,iso,name,url,why_relevant,multi_country_group
Czechy,CZ,TTI Czech s.r.o. (Pöschl Tabak),http://www.tti-czech.cz/,"CZ exclusive Pöschl/Davidoff/Mascotte importer, multi-country (CZ+SK+DE)",Pöschl Group
Czechy,CZ,CZECH TOBACCO CORPORATION a.s.,https://www.ctc-as.cz/,"CZ 15,000 retail units, jednym z nejvýznamnějších velkoobchodních distributorů v ČR",
Czechy,CZ,MORAVIA TOBACCO,https://www.moraviatb.cz/english/,"CZ family importer+distributor premium cigars (My Father, Alec Bradley, La Flor Dominicana), 2005",
Czechy,CZ,Horák Tabák,https://www.horaktabak.cz/velkoobchod/,"CZ wholesale hookah tobacco + accessories, B2B only",
Czechy,CZ,Etabak.com,https://etabak.com/velkoobchod/,CZ wholesale OCB/Smoking papers + cigars + accessoires,
Czechy,CZ,TABÁK RAST plus Teplice,https://www.rastplus.cz,"CZ wholesale tobacco + beverages + food, Teplice HQ",
Czechy,CZ,Velkoobchod Mečíř Trutnov,https://www.mecir.net,CZ wholesale tobacco + spirits + gastro,
Czechy,CZ,Tabacos.cz,https://www.tabacos.cz,CZ wholesale Oliva/Drew Estate/Costa Cigars,
Czechy,CZ,EUROSPRO s.r.o.,https://www.eurospro.cz,"CZ velkoobchod tabákových výrobků a alkoholu, Praha",
Czechy,CZ,Šebrle s.r.o.,https://www.sebrlesro.cz,CZ velkoobchod kuřáckých potřeb + Golden Filter import,
Czechy,CZ,CigarKings trade,https://www.cigarkings.de/trade,"DE-headquartered premium cigar importer/distributor active in CZ, EE, HR, HU and 20+ EU countries",CigarKings network
Mołdawia,MD,Casa del Tabaco (DMS SRL),https://casadeltabaco.net,"MD exclusive Habanos importer since 2005, horeca + retail + B2B",
Mołdawia,MD,Le Bridge Duty Free,https://moodiedavittreport.com/moldovan-retailer-and-distributor-le-bridge-duty-free-prepares-to-open-border-and-airport-stores-131009/,"MD Imperial+BAT importer-distributor, 4 border stores + Chisinau airport",Imperial/BAT cluster
