id,country,iso,nazwa_firmy,miasto,www,kategoria,tier,email,telefon,kanal_sprzedaży,decydent,powinowactwo_nabijarki,marki_nabijarki,notatki,sourcing,flagi,wolumen,confidence_wolumen,vat_id,address
BG-B-027,Bułgaria,BG,Darimex Trading Ltd.,,https://www.darimex.net/cigarette-packaging,B5,średni,office@darimex.net,,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,Varna
BG-B-028,Bułgaria,BG,Skipter Ltd.,,https://skipter.bg/en/about-us/,B5,średni,info@skipter.bg,+359 897 944 222,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,"1510 Sofia, Bulgaria"
BG-B-029,Bułgaria,BG,Unipack AD,,https://www.unipackbg.com/en/product/tobacco-packaging,B5,średni,unipack@unipackbg.com,+359 610 51 104,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,Pavlikeni
CZ-B-001,Czechy,CZ,METALIMEX a.s.,,https://www.metalimex.cz,B5,średni,info@metalimex.cz,+420224492245,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,
CZ-B-002,Czechy,CZ,RONEX s.r.o.,,https://www.ronex.cz/,B5,średni,aziz.manas@ronex.cz,+420602514114,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,
EE-B-027,Estonia,EE,Ecobox,,https://pakendid.ee/en/,B5,średni,,+37258141460,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,Kohila
EE-B-028,Estonia,EE,Pakendikeskus AS,,https://www.pakendikeskus.ee/en,B5,średni,info@pakendikeskus.ee,+3725074055,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,"Lasnamäe 8, Tallinn"
EE-B-029,Estonia,EE,Plastrum OÜ,,https://plastrum.ee/en/about-us/,B5,średni,berni@plastrum.ee,+3725140521,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,Tallinn
FR-B-014,Francja,FR,Komori-Chambon SAS,,https://www.tobaccoasia.com/features/printing-machine-suppliers-unfazed-by-plain-packaging-drive/,B5,średni,,,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,Orléans
HR-B-012,Chorwacja,HR,De-Ro d.o.o.,,https://de-ro.hr/en/landing,B5,średni,,+385(0)42421042,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,42000 Varaždin
LT-B-011,Litwa,LT,Printela UAB,,https://www.printela.lt/en/,B5,średni,info@printela.lt,++37068290005,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,Kaunas
LT-B-012,Litwa,LT,Trustpack UAB,,https://trustpack.lt/en/,B5,średni,,+37052499900,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,Vilnius
LT-B-013,Litwa,LT,UAB Starna,,https://starna.lt/en,B5,średni,,+37037432002,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,LT-54464 Kauno
LV-B-005,Łotwa,LV,Packforce Latvia,,https://www.packforce.lv/en,B5,średni,eshop@packforce.lv,+371 2 8398529,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,Riga
LV-B-006,Łotwa,LV,PrintPacking SIA,,https://www.printpacking.lv/en/,B5,średni,info@printpacking.lv,+37128887744,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,Riga
MD-B-003,Mołdawia,MD,International Tobacco SRL,,https://internationaltobacco.md/,B5,średni,,+373) 22 009300,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,Orhei
RO-B-015,Rumunia,RO,KangooPack SRL,,https://kangoopack.com,B5,średni,online@kangoopack.com,+40731371802,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,Constanța
RO-B-016,Rumunia,RO,PrintPack Prod SRL,,https://www.printpack.ro/,B5,średni,secretariat@printpack.ro,+40214608399,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,Bucharest
RO-B-017,Rumunia,RO,UZINEX SRL,,https://www.uzinex.ro/en,B5,średni,info@uzinex.ro,+40769081081,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,RO-CUI=49240731,
RS-B-016,Serbia,RS,GTL Packaging,,http://gtl-packaging.com/en/,B5,średni,gtl@gtl-packaging.com,+381 34 561 571,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,Kragujevac
RS-B-017,Serbia,RS,Snail Custom Rolling Papers,,https://www.paperindex.com/paper-industry-suppliers-in-serbia/9,B5,średni,,,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,Belgrade
SI-B-010,Słowenia,SI,Rotoprint d.o.o.,,https://www.rotoprint.si/hrvatski/,B5,średni,,+386 1 5639 235,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,Ljubljana
SK-B-016,Słowacja,SK,GRAFOBAL akciová spoločnosť,,https://www.grafobal.sk/en,B5,średni,grafobal@grafobal.sk,+421346645231,B2B wholesale,,2,,,manual-google-search-2026-08-31,DO-WERYFIKACJI,,,,Skalica
