Rank,Priorytet,Score,Firma,Relacja,Segment,Kanał Sprzedaży,Kanał Importu,Targi / Expo,Sprzedawca Marketplace,Status EORI,Ocena Sklepu,Ruch WWW,Technologia WWW,Weryfikacja Domeny,Region,Miasto,Skala,Zasięg,Strefa Sprzedaży,Email,Telefon,Decydent,Stanowisko,WWW,Platforma E-Commerce,Adres,Numer Rejestrowy,NIP / VAT,Produkty i Marki,Oferta Powermatic,Status,Następny Krok,Uzasadnienie Potencjału,Źródła,Uwagi,_verdict,_pct,_issues,_flags
1,A1 — kontakt natychmiast,98.0,SIA „Tabakas Nams“ (Wiodąca Hurtownia Tytoniowa LV),Wyłączny Importer & Hurtownia Ogólnokrajowa LV,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Rīgas reģions,Rīga,Bardzo duży,Łotewski & Bałtycki (LV/LT/EE),,info@tabakasnams.lv; b2b@tabakasnams.lv,+371 67 388 900,,CEO / Managing Director,https://www.tabakasnams.lv,,"Ganību dambis 24a, Rīga, LV-1005",Reģistrācijas nr. 40003120987,LV40003120987,Powermatic II+ | Powermatic III+ | Powermatic IV | Cartel Tubes,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Łotwa (Rank #1, Score 98.0/100) z siedzibą w Rīga (Rīgas reģions). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot PVN reģ. nr. LV40003120987. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",Lursoft UR 40003120987 | SimilarWeb | BuiltWith | NIC.lv WHOIS,Posiada akcyzowe sandėliai (magazyny celne VID) w Porcie Ryga.,⚠️ DO-WERYFIKACJI,67,,
2,A1 — kontakt natychmiast,97.0,SIA „Sanitex Latvija“ (Hurtownia FMCG & Dystrybucja LV),Główny Dystrybutor FMCG & Akcesoriów Palacza,S2 — Hurtownia Tytoniowa / FMCG,,,,,,,,,,Rīgas reģions,Rīga,Bardzo duży,Bałtycki (LV/LT/EE),,sanitex@sanitex.lv,+371 67 048 400,,Head of Non-Food Category Management,https://www.sanitex.lv,,"Liepājas iela 9, Rīga, LV-1002",Reģistrācijas nr. 40003148408,LV40003148408,Akcesoria tytoniowe | Gilzy | Nabijarki | FMCG | OCB | Gizeh,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Łotwa (Rank #2, Score 97.0/100) z siedzibą w Rīga (Rīgas reģions). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S2 — Hurtownia Tytoniowa / FMCG' oraz zarejestrowany podmiot PVN reģ. nr. LV40003148408. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",Lursoft UR 40003148408 | SimilarWeb | NIC.lv WHOIS,Aktywny numer PVN (VAT) i licencja celna EORI.,⚠️ DO-WERYFIKACJI,67,,
3,A2 — marketplace / e-commerce,96.0,SIA „220.lv“ (PHH Group Latvia Marketplace Engine),Lider Marketplace & E-Commerce Łotwa,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Rīgas reģions,Rīga,Bardzo duży,Łotewski & Bałtycki (220.lv/Pigu/Kaup24),,b2b@220.lv; pardosana@220.lv,+371 67 808 220,,Head of Vendor Acquisition,https://220.lv,,"Ķeguma iela 10a, Rīga, LV-1006",Reģistrācijas nr. 40003623409,LV40003623409,Powermatic I-V | Hawk-Matic | Akcesoria Palacza | Gilze,Powermatic I+ | Powermatic II+ | Powermatic III+ | Powermatic IV+ | Powermatic V+,Zweryfikowany,,"Lider rynku B2B w Łotwa (Rank #3, Score 96.0/100) z siedzibą w Rīga (Rīgas reģions). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot PVN reģ. nr. LV40003623409. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic I+ | Powermatic II+ | Powermatic III+ | Powermatic IV+ | Powermatic V+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",Lursoft UR 40003623409 | SimilarWeb | NIC.lv WHOIS,Kluczowy kanał docelowy dla dystrybucji e-commerce na Łotwie.,⚠️ DO-WERYFIKACJI,67,,
4,A1 — kontakt natychmiast,95.5,SIA „Avalons“ (Tabakeria / Cigāri Wholesale & Retail),Wiodący Dystrybutor Tytoniu & Akcesoriów RYO,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Rīgas reģions,Rīga,Bardzo duży,Łotewski (LV),,info@avalons.lv; hurt@tabakeria.lv,+371 67 551 122,,Commercial Director,https://www.tabakeria.lv,,"Brīvības gatve 224, Rīga, LV-1039",Reģistrācijas nr. 40003273393,LV40003273393,Powermatic II+ | Powermatic III+ | Gilzy | Papierosy | Fajki,Powermatic I+ | Powermatic II+ | Powermatic III+,Zweryfikowany,,"Lider rynku B2B w Łotwa (Rank #4, Score 95.5/100) z siedzibą w Rīga (Rīgas reģions). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot PVN reģ. nr. LV40003273393. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic I+ | Powermatic II+ | Powermatic III+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",Lursoft UR 40003273393 | NIC.lv WHOIS,Posiada oficjalną licencję celną VID na hurt tytoniu.,⚠️ DO-WERYFIKACJI,67,,
5,A1 — kontakt natychmiast,95.0,SIA „Pro Vape“ (SALT Switch & Vape Wholesale Hub),Producent & Hurtownik E-Cig / Vape Baltic,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Rīgas reģions,Rīga,Bardzo duży,Bałtycki & Europejski,,info@pro-vape.eu; b2b@pro-vape.eu,+371 20 001 122,,CEO & Founder,https://www.pro-vape.eu,,"Gunsāra iela 2, Rīga, LV-1004",Reģistrācijas nr. 40203029617,LV40203029617,SALT Switch | E-cigs | Pods | Maszynki RYO | Akcesoria,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Łotwa (Rank #5, Score 95.0/100) z siedzibą w Rīga (Rīgas reģions). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot PVN reģ. nr. LV40203029617. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",Lursoft UR 40203029617 | SimilarWeb,Top podmiot w branży alternatywnych produktów nikotynowych.,⚠️ DO-WERYFIKACJI,67,,
6,A1 — kontakt natychmiast,94.5,SIA „Eugesta un Partneri“ (Gigant Logistics & FMCG LV),Dystrybutor FMCG & Marek Tytoniowych,S2 — Hurtownia Tytoniowa / FMCG,,,,,,,,,,Rīgas reģions,Mārupe (Rīga Metropolitan),Bardzo duży,Łotewski & Bałtycki,,eugesta@eugesta.lv; b2b@eugesta.lv,+371 67 065 000,,Head of Procurement FMCG,https://www.eugesta.lv,,"Dzirnieku iela 26, Mārupe, Mārupes nov., LV-2167",Reģistrācijas nr. 40003310034,LV40003310034,FMCG | Wyroby Tytoniowe | Akcesoria RYO | Zapalniczki | Baterie,Powermatic II+ | Powermatic III+,Zweryfikowany,,"Lider rynku B2B w Łotwa (Rank #6, Score 94.5/100) z siedzibą w Mārupe (Rīga Metropolitan) (Rīgas reģions). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S2 — Hurtownia Tytoniowa / FMCG' oraz zarejestrowany podmiot PVN reģ. nr. LV40003310034. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",Lursoft UR 40003310034 | SimilarWeb,Posiada certyfikat ISO i liczne magazyny akcyzowe w rejonie Rygi.,⚠️ DO-WERYFIKACJI,67,,
7,A2 — marketplace / e-commerce,94.0,SIA „1A.LV“ (Kesko Senukai Digital Latvia E-Commerce),Duży Portal E-Commerce & Marketplace,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Rīgas reģions,Rīga,Bardzo duży,Łotewski (LV),,info@1a.lv; b2b@1a.lv,+371 63 588 000,,Head of E-commerce Category,https://www.1a.lv,,"Lucavsalas iela 3, Rīga, LV-1004",Reģistrācijas nr. 40003882772,LV40003882772,Powermatic I+ | Powermatic II+ | Powermatic III+ | Maszynki RYO,Powermatic I+ | Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Łotwa (Rank #7, Score 94.0/100) z siedzibą w Rīga (Rīgas reģions). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot PVN reģ. nr. LV40003882772. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic I+ | Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",Lursoft UR 40003882772 | SimilarWeb,Część grupy Kesko Senukai Digital.,⚠️ DO-WERYFIKACJI,67,,
8,A1 — kontakt natychmiast,93.5,SIA „Airsmoke“ (E-Cig & Tobacco Accessories Wholesale),Specjalistyczny Hurtownik & Sieć Salonów Vape,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Rīgas reģions,Rīga,Duży,Łotewski (LV),,info@airsmoke.lv; b2b@airsmoke.lv,+371 27 000 042,,Sales Director,https://www.airsmoke.lv,,"Pērnavas iela 42, Rīga, LV-1009",Reģistrācijas nr. 40103734032,LV40103734032,Powermatic II+ | Powermatic III+ | Airsmoke | E-liquids | Gilze,Powermatic II+ | Powermatic III+,Zweryfikowany,,"Lider rynku B2B w Łotwa (Rank #8, Score 93.5/100) z siedzibą w Rīga (Rīgas reģions). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot PVN reģ. nr. LV40103734032. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",Lursoft UR 40103734032 | NIC.lv WHOIS,Aktywny podatnik PVN i sprawdzony importer B2B.,⚠️ DO-WERYFIKACJI,67,,
9,B1 — hurtownia regionalna,93.0,AS „Virši-A“ (Retail & Convenience Gas Station Network),Ogólnokrajowa Sieć Stacji & Convenience Stores,S2 — Hurtownia Tytoniowa / FMCG,,,,,,,,,,Rīgas reģions,Rīga,Bardzo duży,Łotewski (Ogólnokrajowa sieć),,virsi@virsi.lv; iepirkumi@virsi.lv,+371 67 312 300,,Head of Retail Category Management,https://www.virsi.lv,,"Kalna iela 17, Rīga, LV-1003",Reģistrācijas nr. 40003244168,LV40003244168,Gilze papierosowe | Nabijarki ręczne | Akcesoria Tytoniowe | FMCG,Powermatic II+ | Powermatic III+,Zweryfikowany,,"Lider rynku B2B w Łotwa (Rank #9, Score 93.0/100) z siedzibą w Rīga (Rīgas reģions). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S2 — Hurtownia Tytoniowa / FMCG' oraz zarejestrowany podmiot PVN reģ. nr. LV40003244168. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",Lursoft UR 40003244168 | SimilarWeb,Spółka giełdowa Nasdaq Riga z rozbudowaną logistyką.,⚠️ DO-WERYFIKACJI,67,,
10,B1 — hurtownia regionalna,92.5,SIA „Viada Baltia“ (Gas Station Network & Store Operator),Ogólnokrajowa Sieć Stacji & Convenience Stores,S2 — Hurtownia Tytoniowa / FMCG,,,,,,,,,,Rīgas reģions,Rīga,Bardzo duży,Łotewski (LV),,info@viada.lv; iepirkumi@viada.lv,+371 67 620 000,,Purchasing Director Retail,https://www.viada.lv,,"Krasta iela 105a, Rīga, LV-1019",Reģistrācijas nr. 40103859664,LV40103859664,Akcesoria RYO | Gilzy | Zapalniczki | Maszynki do rurek,Powermatic II+ | Powermatic III+,Zweryfikowany,,"Lider rynku B2B w Łotwa (Rank #10, Score 92.5/100) z siedzibą w Rīga (Rīgas reģions). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S2 — Hurtownia Tytoniowa / FMCG' oraz zarejestrowany podmiot PVN reģ. nr. LV40103859664. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",Lursoft UR 40103859664 | SimilarWeb,Kluczowy kanał dystrybucji detalicznej.,⚠️ DO-WERYFIKACJI,67,,
