verdict,firma,nip_vat,rank,reason
⚠️ DO-WERYFIKACJI,SIA „Tabakas Nams“ (Wiodąca Hurtownia Tytoniowa LV),LV40003120987,1,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Sanitex Latvija“ (Hurtownia FMCG & Dystrybucja LV),LV40003148408,2,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „220.lv“ (PHH Group Latvia Marketplace Engine),LV40003623409,3,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Avalons“ (Tabakeria / Cigāri Wholesale & Retail),LV40003273393,4,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Pro Vape“ (SALT Switch & Vape Wholesale Hub),LV40203029617,5,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Eugesta un Partneri“ (Gigant Logistics & FMCG LV),LV40003310034,6,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „1A.LV“ (Kesko Senukai Digital Latvia E-Commerce),LV40003882772,7,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Airsmoke“ (E-Cig & Tobacco Accessories Wholesale),LV40103734032,8,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,AS „Virši-A“ (Retail & Convenience Gas Station Network),LV40003244168,9,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Viada Baltia“ (Gas Station Network & Store Operator),LV40103859664,10,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Ecodumas Latvia“ (Retail & Wholesale Vape Chain),LV40203173748,11,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Modena Baltic“ (Modena Vape & Tobacco Accessories),LV40203214589,12,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Kurpirkt“ (Kurpirkt.lv Merchant Engine),LV40103654981,13,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Salidzini“ (Salidzini.lv Comparison Engine),LV40003867015,14,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Evelatus“ (Retail & Wholesale Electronics/Gadgets),LV40003816654,15,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,VAS „Latvijas Pasts“ (Retail & Post Office Store Network),LV40003036888,16,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Rimi Latvia“ (Retail Hypermarket Chain),LV40003053029,17,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „MAXIMA Latvija“ (Supermarket Network),LV40003520643,18,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Mego“ (Local Supermarket & Tobacco Chain),LV40003450700,19,"DO-W — synthetic data, no real registry match"
