related_to,rok_zalozenia,id_unikalne,kategoria,nazwa_firmy,kraj,miasto,adres,nip_vat,rejestr_id,www,kanal_zamiennik,email,telefon,linkedin,facebook,instagram,tiktok,tier,marki_nabijarki,marka_wlasna_oem,sourcing,wolumen,confidence_wolumen,kanal_sprzedaży,powinowactwo_nabijarki,cross_sell_potential,decydent,stanowisko,email_decydent,zrodlo_danych,data_weryfikacji,flagi,notatki,rynek_skala
,,LV-A-001,A1,www.Tabakeria.lv,LV,,,,ChIJt1RGGWfT7kYRUwgBM454g-g,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: cigarešu uzpildes mašīna vairumtirdzniecība Rīga (ID: ChIJt1RGGWfT7kYRUwgBM454g-g),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,LV-A-002,A1,Ecodumas,LV,,,,ChIJReKcaUTO7kYRwP-uKQMayT8,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: cigarešu uzpildes mašīna vairumtirdzniecība Rīga (ID: ChIJReKcaUTO7kYRwP-uKQMayT8),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,LV-A-003,A1,SALT POINT (Vecrīga),LV,,,,ChIJ4StE-fvP7kYRGlZa5OXWKi4,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: cigarešu uzpildes mašīna vairumtirdzniecība Rīga (ID: ChIJ4StE-fvP7kYRGlZa5OXWKi4),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,LV-A-004,A1,Pro-Vape,LV,,,,ChIJMynSkEDP7kYROjncpwwQSNw,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: cigarešu uzpildes mašīna vairumtirdzniecība Rīga (ID: ChIJMynSkEDP7kYROjncpwwQSNw),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,LV-A-005,A1,SALT POINT (TC Domina),LV,,,,ChIJ8wTM7lbP7kYRE3nOYE28NhQ,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: cigarešu uzpildes mašīna vairumtirdzniecība Rīga (ID: ChIJ8wTM7lbP7kYRE3nOYE28NhQ),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,LV-A-006,A1,"Rasta 1, SIA",LV,,,,ChIJg1Lz_M7T7kYRUG0vGpxdnh0,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: tabakas piederumi vairumtirdzniecība Latvia (ID: ChIJg1Lz_M7T7kYRUG0vGpxdnh0),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,LV-A-007,A1,SIA Avalons,LV,,,,ChIJC-RFfhLS7kYRTH95MBS89JI,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: tabakas piederumi vairumtirdzniecība Latvia (ID: ChIJC-RFfhLS7kYRTH95MBS89JI),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,LV-A-008,A1,Tabakas Nams Grupa SIA,LV,,,,ChIJQzjfMXLb7kYRA2xFeqqrrq0,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: tabakas piederumi vairumtirdzniecība Latvia (ID: ChIJQzjfMXLb7kYRA2xFeqqrrq0),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,LV-A-009,A1,Tabakas Studija Interneta veikals,LV,,,,ChIJNXjKW1XT7kYRBuvMx00H0qg,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: cigarešu tīšanas mašīnas vairumtirdzniecība Rīga (ID: ChIJNXjKW1XT7kYRBuvMx00H0qg),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,LV-A-010,A1,Tabakeria ART,LV,,,,ChIJ9eeiOv7R7kYRjz1qicyNCAA,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: tabakas izstrādājumi un piederumi vairumā Latvija (ID: ChIJ9eeiOv7R7kYRjz1qicyNCAA),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,LV-A-011,A1,Tabakas Nams,LV,,,,ChIJMXZTD53P7kYRckxAhxWygWE,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: tabakas izstrādājumi un piederumi vairumā Latvija (ID: ChIJMXZTD53P7kYRckxAhxWygWE),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,LV-A-012,A1,Tabakeria,LV,,,,ChIJ3fbV8sDP7kYR0sHjwP9Bpz0,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: tabakas izstrādājumi un piederumi vairumā Latvija (ID: ChIJ3fbV8sDP7kYR0sHjwP9Bpz0),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,LV-A-013,A1,Shadow Tobacco,LV,,,,ChIJFbNcv1XP7kYRI-6UoFxRLqw,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: tabakas izstrādājumi un piederumi vairumā Latvija (ID: ChIJFbNcv1XP7kYRI-6UoFxRLqw),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,LV-A-014,A1,Tabakas Studija Dižozolu,LV,,,,ChIJ25oCWO_R7kYRLACSZVuxUOA,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: tabakas izstrādājumi un piederumi vairumā Latvija (ID: ChIJ25oCWO_R7kYRLACSZVuxUOA),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
