kraj,id,nazwa,miasto,adres,www,www_status,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
PL,PL-A-001,BILLS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Ostrzeszów,"ul. Ignacego Daszyńskiego 31, 63-500 Ostrzeszów, Polska",https://bills.pl,green|200|98ms,duży,Jest NIP,KRS 0001074645,PL5140361901,2023,autoryzowany,PowerMatic | Hawk,Hawk,,A1,duży,,Oficjalny dystrybutor / Hub B2B / Serwis,,Marceli,Właściciel / Prezes Zarządu,marceli@bills.pl,serwis@bills.pl,+48 62 730 00 00,Główny podmiot operacyjny i właściciel projektu BILLSzuka. Oficjalny importer i dystrybutor maszynek PowerMatic oraz marki Hawk w Polsce i Europie Środkowo-Wschodniej. Hub magazynowo-serwisowy w Ostrzeszowie.,,,,,2026-09-03,import + dystrybucja,KRS API 0001074645 + bills.pl (Profil własny / Operator),"Verified, FROZEN",
PL,PL-A-002,"PRIMA-TECH JERZY ROTT, SANDRA ROTT S.C.",Kolonia Poczesna,"ul. Górna 2A, 42-262 Kolonia Poczesna",https://www.nabijarka.pl,green|200|538ms,średni,Jest NIP,REGON 240040924,PL9491922250,2005,reseller,nabijarka.pl (nabijarki tłokowe i sprężynowe),tak,,A4,średni,,e-commerce B2B/B2C + serwis,,Jerzy Rott + Sandra Rott,wspólnicy s.c.,,biuro@prima-tech.pl,+48 34 328 51 48,"Właściciel serwisów nabijarka.pl oraz primarket.pl. Dystrybutor nabijarek, części zamiennych i punkt serwisowy nabijarek tłokowych. Dedykowany numer serwisu: +48 884 606 604.",,,,,2026-09-03,import + dystrybucja,CEIDG / REGON 240040924 + nabijarka.pl / primarket.pl,"Verified, FROZEN, BILLS-LIKE",
PL,PL-A-003,TREZO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Sosnowiec,"ul. Główna 26, 41-215 Sosnowiec",https://trezo.com.pl,green|200|1346ms,duży,Jest NIP,KRS 0000554050,PL6443510536,2015,producent,TREZO (maszyny i nabijarki do gilz),tak,,A5,duży,,B2B direct + serwis maszyn,,Andrzej Kudła,Prezes Zarządu,,sklep@trezo.com.pl,+48 32 269 20 10,Producent i dystrybutor maszyn do obróbki tytoniu oraz nabijarek do gilz. Dział serwisu urządzeń i części zamiennych: +48 514 281 573. Eksport maszyn do UE.,,,,,2026-09-03,produkcja,KRS API 0000554050 + trezo.com.pl,"Verified, FROZEN, BILLS-LIKE",
PL,PL-A-004,DON MARCO INTERNATIONAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Gdańsk,"ul. Jodłowa 20, 80-633 Gdańsk",https://donmarco.pl,green|200|308ms,duży,Jest NIP,KRS 0000289524,PL5833000423,2007,hurtownik,zwijarki i nabijarki do tytoniu,nie,,A6,duży,,B2B wholesale,,Marek Papuga,Prezes Zarządu,,donmarco@donmarco.pl,+48 58 349 55 55,"Ogólnokrajowy dystrybutor i importer akcesoriów dla palaczy w Polsce: zwijarki, nabijarki do tytoniu, zapalniczki, bibułki. Centrum logistyczno-magazynowe: ul. Budowlanych 15A, Gdańsk.",,,,,2026-09-03,import + dystrybucja,KRS API 0000289524 + donmarco.pl,"Verified, FROZEN",
PL,PL-A-005,P.W. KENTDRUK Zbigniew Sroczyński,Kęty,"ul. Marii Konopnickiej 6, 32-650 Kęty",https://kentdruk.pl,red|ssl,duży,Jest NIP,REGON 070440306,PL5490000925,1993,producent,nabijarki ręczne i tłokowe,tak,,A6,duży,,B2B wholesale,,Zbigniew Sroczyński,właściciel (JDG),,biuro@kentdruk.pl,+48 33 845 30 10,"Producent gilz papierosowych marek GoldenTube, MCT oraz dystrybutor nabijarek i akcesoriów do tytoniu. Hurtownia i eksport.",,,,,2026-09-03,produkcja,CEIDG NIP 5490000925 + VIES confirmed 2026-09-03 + kentdruk.pl,"Verified, FROZEN",
PL,PL-B-001,CK COMPLEX SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,Zielona Góra,"ul. Naftowa 4, 65-705",https://ckcomplex.pl,green|200|672ms,duży,Jest NIP,KRS 0000237218,PL9291744080,2005,reseller,,,3,B6,duży,średni,,brak,Paweł Szymański,Prezes Zarządu,,info@ckcomplex.pl,+48 68 452 12 30,Sieć 100+ sklepów vape. Dystrybutor SMOK/VooPoo/Aspire/Vaporesso. Kapitał 50k PLN. Rejestracja 2005. PKD 4690Z (hurt niewyspecjalizowana). Kandydat cross-sell jeśli któryś z jego sklepów chce rozszerzyć o asortyment | cf detail: hurtownia + sieć 100+ sklepów własnych,https://www.linkedin.com/company/ck-complex-sp.-z-o.o.,https://facebook.com/CKComplex,https://instagram.com/ckcomplexspzoo,,2026-08-10,Chiny (import),KRS API + web search + VIES | VIES confirmed 2026-08-11T00:19:10.115Z | KRS API 0000237218 (partial),2026-09-03 ✅ FROZEN (API),
PL,PL-B-002,F.H.U. ALPIK RYSZARD TRZCIŃSKI,Szczecin,"ul. Bolesława Krzywoustego 51, 70-317",https://bongogo.pl,green|200|411ms,mały,www bez NIP,JDG (CEIDG),PL9551541914,,detalista,nie,nie,5,B4,duży,brak,,Allegro shop,Ryszard Trzciński,właściciel,,kontakt@bongogo.pl,+48 601 779 697,"Brand BongGo.pl = F.H.U. ALPIK. Sklep stacjonarny w Szczecinie, panel hurtowy dla firm. Powiązany z bongosklep.firmy.net. Weryfikacja czy importuje maszynki - prawdopodobnie tak (panel hurtowy sugeruje) ⚠️ DO-WERYFIKACJI | cf detail: sklep stacjonarny + hurtownia | Brand/Web: BongoGo.pl | Profil: brand: BongoGo.pl",brak,https://facebook.com/BongoGoPL,https://instagram.com/bongogo,,2026-08-10,do weryfikacji,CEIDG API + web search + VIES | VIES confirmed 2026-08-11T00:19:13.918Z | ceidg api + web search,2026-09-03 ✅ FROZEN (API),
PL,PL-B-003,GABIMIX KRZYSZTOF JASZCZAK,Konstantynów Łódzki,"pl. Kościuszki 20, 95-050",https://www.dopalenia.pl,green|200|352ms,mały,www bez NIP,JDG (CEIDG),PL7311693836,,detalista,nie,nie,5,B4,duży,wysoki,,Allegro shop,Krzysztof Jaszczak,właściciel,,sklep@dopalenia.pl,+48 665 852 033,Brand Dopalenia.pl = Gabimix. Strona + hurtownia. Prawdopodobnie sprzedaje maszynki (typowy asortyment sklepu tytoniowego). Status AKTYWNY w CEIDG. Kandydat cross-sell ⚠️ DO-WERYFIKACJI | cf detail: sklep + hurtownia,brak,https://facebook.com/dopalenia,brak,,2026-08-10,do weryfikacji,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:02.088Z | ceidg + web search,2026-09-03 ✅ FROZEN (API),
PL,PL-B-004,CASISS KRZYSZTOF RZESZOWSKI SPÓŁKA JAWNA,Wrocław,"ul. Bolesława Krzywoustego 300, 51-312 Wrocław",,,średni,Jest NIP,KRS 0000061705,PL8940050162,,hurtownik,nie,nie,5,B8,duży,wysoki,,pkt.pl,Rzeszowski,Członek Zarządu,,,+48 71 336 23 94,"hurtownia tytoniowa (KRS 0000061705). Marki: nie. Kanał: 5, tier: hurtownik | wolumen detail: sieć 6+ lokalizacji | cf detail: hurtownia + 6+ sklepów: Wrocław (Kościuszki 180, Żegiestowska 5, Krzywoustego 300 x2), Wałbrzych (Wrocławska 130, partner: kdwt.com.pl) | tel cleanup 2026-08-31: telefony dodatkowe: 71 345 67 74, 74 840 83 33, fax 71 367 23 94",brak,brak,brak,,2026-08-10,brak,KRS API / CEIDG API + web search 2026-08-17 | panoramafirm + pkt.pl (2 niezależne źródła),2026-09-03 ✅ FROZEN (API),
PL,PL-B-005,POLSKA GRUPA TYTONIOWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Wierzbnica (pow. myśliborski),"Wierzbnica 63A, 74-300 Myślibórz",http://polskagt.pl,red|403,duży,Jest NIP,KRS 0000396744,PL4980260426,2011,hurtownik,nie,nie,5,B8,duży,wysoki,,biuro oddziałów,wspólnicy (równe udziały),PREZES ZARZĄDU,biuro@polskagt.pl,biuro@polskagt.pl,+48 502 399 832,"hurtownia tytoniowa (KRS 0000396744). Marki: nie; Polska (dystrybucja od 2002). Kanał: 5, tier: hurtownik | Wspólnicy: Robert Biela (33% udziałów) + Barbara Urcus-Wargocka (33%) + Robert Rutkowski (33%). | cf detail: hurtownia ogólnopolska + biuro Piekary Śląskie (Bytomska 359)",brak,https://facebook.com/polskagtpl,https://instagram.com/polskagt_pl,,2026-08-10,Polska (dystrybucja od 2002),KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:18:52.103Z | KRS API 0000396744,2026-09-03 ✅ FROZEN (API),
